Value,Format,Metric,Year
,CD,Units,1973
,CD Single,Units,1973
15,Cassette,Units,1973
,Cassette Single,Units,1973
280,LP/EP,Units,1973
228,Vinyl Single,Units,1973
91,8 - Track,Units,1973
2.2,Other Tapes,Units,1973
,Music Video (Physical),Units,1973
,DVD Audio,Units,1973
,SACD,Units,1973
,Download Single,Units,1973
,Download Album,Units,1973
,Kiosk,Units,1973
,Download Music Video,Units,1973
,Ringtones & Ringbacks,Units,1973
,,Units,1973
,Paid Subscriptions,Units,1973
,CD,Value,1973
,CD Single,Value,1973
76,Cassette,Value,1973
,Cassette Single,Value,1973
1246,LP/EP,Value,1973
190,Vinyl Single,Value,1973
489,8 - Track,Value,1973
15.6,Other Tapes,Value,1973
,Music Video (Physical),Value,1973
,DVD Audio,Value,1973
,SACD,Value,1973
,Download Single,Value,1973
,Download Album,Value,1973
,Kiosk,Value,1973
,Download Music Video,Value,1973
,Ringtones & Ringbacks,Value,1973
,Other Digital,Value,1973
,Paid Subscription,Value,1973
,Limited Tier Paid Subscription,Value,1973
,SoundExchange Distributions,Value,1973
,On-Demand Streaming (Ad-Supported),Value,1973
,Other Ad-Supported Streaming,Value,1973
,Synchronization,Value,1973
,CD,Value (Adjusted),1973
,CD Single,Value (Adjusted),1973
419.5747748,Cassette,Value (Adjusted),1973
,Cassette Single,Value (Adjusted),1973
6878.818018,LP/EP,Value (Adjusted),1973
1048.936937,Vinyl Single,Value (Adjusted),1973
2699.632432,8 - Track,Value (Adjusted),1973
86.12324324,Other Tapes,Value (Adjusted),1973
,Music Video (Physical),Value (Adjusted),1973
,DVD Audio,Value (Adjusted),1973
,SACD,Value (Adjusted),1973
,Download Single,Value (Adjusted),1973
,Download Album,Value (Adjusted),1973
,Kiosk,Value (Adjusted),1973
,Download Music Video,Value (Adjusted),1973
,Ringtones & Ringbacks,Value (Adjusted),1973
,Other Digital,Value (Adjusted),1973
,Paid Subscription,Value (Adjusted),1973
,Limited Tier Paid Subscription,Value (Adjusted),1973
,SoundExchange Distributions,Value (Adjusted),1973
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1973
,Other Ad-Supported Streaming,Value (Adjusted),1973
,Synchronization,Value (Adjusted),1973
,CD,Units,1974
,CD Single,Units,1974
15.3,Cassette,Units,1974
,Cassette Single,Units,1974
276,LP/EP,Units,1974
204,Vinyl Single,Units,1974
96.7,8 - Track,Units,1974
1.9,Other Tapes,Units,1974
,Music Video (Physical),Units,1974
,DVD Audio,Units,1974
,SACD,Units,1974
,Download Single,Units,1974
,Download Album,Units,1974
,Kiosk,Units,1974
,Download Music Video,Units,1974
,Ringtones & Ringbacks,Units,1974
,,Units,1974
