date,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,pressureError,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation,precipType,cloudCoverError
2017-01-01T12:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-01-01T14:50:29Z,2017-01-02T00:12:41Z,0.11,0,3e-4,2017-01-01T18:00:00Z,0,35.58,1483308000,25.02,1483365600,33.24,1483300800,22.66,1483354800,17.61,0.67,1015.7,84.9,2.66,15.1,1483336800,194,0.75,2,1483297200,8.3,20.53,2017-01-01T15:00:00Z,35.58,2017-01-01T22:00:00Z,16.06,2017-01-01T13:00:00Z,33.24,2017-01-01T20:00:00Z,NA,NA,NA
2017-01-02T12:00:00Z,Foggy overnight.,fog,2017-01-02T14:50:33Z,2017-01-03T00:13:32Z,0.15,8e-4,0.0048,2017-01-02T21:00:00Z,0.33,30.05,1483390800,24.06,1483448400,30.05,1483390800,24.06,1483448400,21.06,0.74,1013.92,NA,1.3,19.31,1483344000,246,0.97,2,1483383600,4.95,25.02,2017-01-02T14:00:00Z,34.56,2017-01-02T07:00:00Z,22.66,2017-01-02T11:00:00Z,30.05,2017-01-02T21:00:00Z,0.183,snow,NA
2017-01-03T12:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-01-03T14:50:35Z,2017-01-04T00:14:23Z,0.18,0.0013,0.0104,2017-01-03T23:00:00Z,0.32,33.95,1483484400,30.99,1483502400,33.95,1483484400,28.24,1483498800,20.78,0.72,1021.78,84.9,1.39,11.35,1483509600,186,0.9,2,1483470000,7.65,24.06,2017-01-03T13:00:00Z,33.95,2017-01-03T23:00:00Z,24.06,2017-01-03T13:00:00Z,33.95,2017-01-03T23:00:00Z,0.255,snow,NA
2017-01-04T12:00:00Z,Overcast throughout the day.,cloudy,2017-01-04T14:50:34Z,2017-01-05T00:15:17Z,0.22,0.0027,0.0066,2017-01-05T05:00:00Z,0.4,39.97,1483574400,19.08,1483628400,36.33,1483574400,18.49,1483617600,28.26,0.69,1011.2,NA,4.4,18.79,1483527600,190,0.99,2,1483556400,8.65,31.56,2017-01-05T06:00:00Z,39.97,2017-01-05T00:00:00Z,26.58,2017-01-05T06:00:00Z,36.33,2017-01-05T00:00:00Z,0.241,snow,NA
2017-01-05T12:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-01-05T14:50:32Z,2017-01-06T00:16:12Z,0.25,3e-4,0.0022,2017-01-05T07:00:00Z,0.2,20.57,1483624800,3.5,1483711200,20.57,1483624800,3.5,1483711200,11.55,0.72,1016.2,NA,2.58,14.28,1483610400,325,0.84,2,1483642800,7.12,9.29,2017-01-06T06:00:00Z,29.57,2017-01-05T07:00:00Z,9.29,2017-01-06T06:00:00Z,24.05,2017-01-05T07:00:00Z,0.097,snow,NA
2017-01-06T12:00:00Z,Clear throughout the day.,clear-day,2017-01-06T14:50:27Z,2017-01-07T00:17:08Z,0.29,2e-4,0.0016,2017-01-06T22:00:00Z,0.16,18.12,1483740000,9.02,1483786800,18.12,1483740000,9.02,1483786800,-0.51,0.62,1027.75,84.79,0.72,7.71,1483768800,168,0.04,2,1483729200,9.97,3.5,2017-01-06T14:00:00Z,18.12,2017-01-06T22:00:00Z,3.5,2017-01-06T14:00:00Z,18.12,2017-01-06T22:00:00Z,0.074,snow,NA
2017-01-07T12:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-night,2017-01-07T14:50:20Z,2017-01-08T00:18:06Z,0.33,0,0,NA,0,28,1483840800,28.62,1483844400,28,1483840800,28.62,1483844400,8.85,0.62,1029.07,84.76,1.89,12.15,1483840800,183,0.57,2,1483815600,8.92,9.02,2017-01-07T11:00:00Z,31.15,2017-01-08T06:00:00Z,9.02,2017-01-07T11:00:00Z,31.15,2017-01-08T06:00:00Z,NA,NA,NA
2017-01-08T12:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-01-08T14:50:11Z,2017-01-09T00:19:05Z,0.37,0.0029,0.0141,2017-01-08T20:00:00Z,0.37,45.14,1483927200,43.99,1483974000,41.12,1483927200,40.78,1483974000,30.38,0.74,1025.73,NA,3.68,22.39,1483934400,173,0.94,2,1483902000,6.36,31.02,2017-01-08T07:00:00Z,49.28,2017-01-09T06:00:00Z,31.02,2017-01-08T07:00:00Z,46.42,2017-01-09T06:00:00Z,NA,rain,NA
2017-01-09T12:00:00Z,Snow (< 1 in.) in the evening.,snow,2017-01-09T14:50:00Z,2017-01-10T00:20:05Z,0.4,0.0044,0.0315,2017-01-10T01:00:00Z,0.51,45.44,1483970400,34.02,1484042400,42.59,1483970400,31.94,1484046000,31.81,0.64,1011.9,NA,4.99,25.47,1483959600,194,0.91,2,1483988400,9.27,36.31,2017-01-10T05:00:00Z,50.06,2017-01-09T09:00:00Z,36.31,2017-01-10T05:00:00Z,50.06,2017-01-09T09:00:00Z,NA,rain,NA
2017-01-10T12:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2017-01-10T14:49:47Z,2017-01-11T00:21:06Z,0.44,4e-4,9e-4,2017-01-10T19:00:00Z,0.12,41.97,1484082000,38.51,1484146800,38.78,1484082000,33.65,1484146800,26.62,0.62,1012.91,NA,4.29,19.45,1484107200,183,0.83,2,1484074800,9.14,34.02,2017-01-10T10:00:00Z,41.97,2017-01-10T21:00:00Z,31.94,2017-01-10T11:00:00Z,38.78,2017-01-10T21:00:00Z,NA,rain,NA
